data_source,model,n_train,n_train_junk,f1_mixed,f1_mixed_low,f1_mixed_high,f1_gold,f1_gold_low,f1_gold_high,precision_mixed,recall_mixed
human,logreg,1128,509,0.7597955706984668,0.7103064066852368,0.8198019801980198,0.735632183908046,0.664,0.9090909090909091,0.6990595611285266,0.832089552238806
human,lgbm,1128,509,0.7647058823529411,0.703770197486535,0.829981718464351,0.8407643312101911,0.7352941176470589,0.9873417721518988,0.7129032258064516,0.8246268656716418
llm,logreg,3257,1307,0.8273244781783681,0.773972602739726,0.8805970149253731,0.8531468531468531,0.8,0.9130434782608695,0.8416988416988417,0.8134328358208955
llm,lgbm,3257,1307,0.8046875,0.7464114832535885,0.8647619047619047,0.8531468531468531,0.8,0.9253731343283582,0.8442622950819673,0.7686567164179104
combined,logreg,4385,1816,0.8239700374531835,0.7746741154562383,0.8733944954128441,0.8378378378378378,0.7959183673469388,0.9135802469135802,0.8270676691729323,0.8208955223880597
combined,lgbm,4385,1816,0.8089887640449438,0.75,0.8717948717948718,0.8441558441558441,0.7661691542288557,0.9583333333333334,0.8120300751879699,0.8059701492537313
