features,model,n_train,f1_mixed,f1_mixed_low,f1_mixed_high,f1_gold,f1_gold_low,f1_gold_high,precision_mixed,recall_mixed,roc_auc_mixed
text,logreg,4385,0.7938342967244701,0.7392120075046904,0.8477751756440282,0.8652482269503546,0.8088235294117647,0.921875,0.8207171314741036,0.7686567164179104,0.9259225848778088
text,lgbm,4385,0.7852998065764023,0.7352380952380952,0.8360957642725598,0.8531468531468531,0.8076923076923077,0.9019607843137255,0.8152610441767069,0.7574626865671642,0.9174266032474987
text+geo,logreg,4385,0.7869481765834933,0.7337883959044369,0.8380281690140845,0.8368794326241135,0.8029197080291971,0.8705882352941177,0.8102766798418972,0.7649253731343284,0.9247416762342137
text+geo,lgbm,4385,0.7969924812030075,0.7463651050080775,0.8526785714285714,0.863013698630137,0.8087431693989071,0.943089430894309,0.803030303030303,0.7910447761194029,0.9258815811054617
text+geo+struct,logreg,4385,0.8277153558052435,0.778702163061564,0.8784029038112523,0.8513513513513513,0.8111888111888111,0.926829268292683,0.8308270676691729,0.8246268656716418,0.9469001148105626
text+geo+struct,lgbm,4385,0.8090737240075614,0.7534246575342466,0.8664987405541562,0.8496732026143791,0.7738693467336684,0.9583333333333334,0.8199233716475096,0.7985074626865671,0.9331802525832376
text+geo+struct+rec,logreg,4385,0.8239700374531835,0.7746741154562383,0.8733944954128441,0.8378378378378378,0.7959183673469388,0.9135802469135802,0.8270676691729323,0.8208955223880597,0.9449647367557815
text+geo+struct+rec,lgbm,4385,0.8089887640449438,0.75,0.8717948717948718,0.8441558441558441,0.7661691542288557,0.9583333333333334,0.8120300751879699,0.8059701492537313,0.935041823847794
